faker.factory DEBUG 2024-05-19 18:53:07,161 factory 29604 28544 Provider `faker.providers.sbn` does not feature localization. Specified locale `en_US` is not utilized for this provider.
faker.factory DEBUG 2024-05-19 18:53:07,162 factory 29604 28544 Looking for locale `en_US` in provider `faker.providers.ssn`.
faker.factory DEBUG 2024-05-19 18:53:07,167 factory 29604 28544 Provider `faker.providers.ssn` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:53:07,168 factory 29604 28544 Provider `faker.providers.user_agent` does not feature localization. Specified locale `en_US` is not utilized for this provider.
urllib3.connectionpool DEBUG 2024-05-19 18:54:15,782 connectionpool 29316 18216 Starting new HTTP connection (1): 127.0.0.1:8001
urllib3.connectionpool DEBUG 2024-05-19 18:54:15,793 connectionpool 29316 18216 http://127.0.0.1:8001 "GET /consumers/fhayes HTTP/1.1" 404 23
urllib3.connectionpool DEBUG 2024-05-19 18:54:15,795 connectionpool 29316 18216 Starting new HTTP connection (1): 127.0.0.1:8001
urllib3.connectionpool DEBUG 2024-05-19 18:54:15,804 connectionpool 29316 18216 http://127.0.0.1:8001 "POST /consumers HTTP/1.1" 409 145
man_user.function.kong.consumer ERROR 2024-05-19 18:54:15,806 consumer 29316 18216 [kong api] {"status": false, "data": {"name": "unique constraint violation", "fields": {"custom_id": "fhayes"}, "code": 5, "message": "UNIQUE violation detected on '{custom_id=\"fhayes\"}'"}}
urllib3.connectionpool DEBUG 2024-05-19 18:54:19,586 connectionpool 29316 18216 Starting new HTTP connection (1): 127.0.0.1:8001
urllib3.connectionpool DEBUG 2024-05-19 18:54:19,598 connectionpool 29316 18216 http://127.0.0.1:8001 "GET /consumers/fhayesd HTTP/1.1" 404 23
urllib3.connectionpool DEBUG 2024-05-19 18:54:19,600 connectionpool 29316 18216 Starting new HTTP connection (1): 127.0.0.1:8001
urllib3.connectionpool DEBUG 2024-05-19 18:54:19,613 connectionpool 29316 18216 http://127.0.0.1:8001 "POST /consumers HTTP/1.1" 201 155
django.utils.autoreload INFO 2024-05-19 18:54:43,519 autoreload 22956 29388 Watching for file changes with StatReloader
faker.factory DEBUG 2024-05-19 18:54:43,658 factory 22956 29388 Not in REPL -> leaving logger event level as is.
faker.factory DEBUG 2024-05-19 18:54:43,659 factory 22956 29388 Looking for locale `en_US` in provider `faker.providers.address`.
faker.factory DEBUG 2024-05-19 18:54:43,664 factory 22956 29388 Provider `faker.providers.address` has been localized to `en_US`.
faker.factory DEBUG 2024-05-19 18:54:43,665 factory 22956 29388 Looking for locale `en_US` in provider `faker.providers.automotive`.
